ZipCode,MedianIncome
7632,H: 140-160k
7640,G: 120-140k
7641,I: 160-180k
7642,F: 100-120k
7643,D: 60-80k
7644,C: 40-60k
7645,F: 100-120k
7646,D: 60-80k
1585,D: 60-80k
7647,E: 80-100k
7648,E: 80-100k
7649,H: 140-160k
7650,D: 60-80k
7652,F: 100-120k
7656,F: 100-120k
7657,D: 60-80k
7660,D: 60-80k
7661,F: 100-120k
7662,D: 60-80k
1588,D: 60-80k
7663,E: 80-100k
7666,E: 80-100k
7670,H: 140-160k
7675,F: 100-120k
7676,F: 100-120k
7677,G: 120-140k
7701,D: 60-80k
7702,F: 100-120k
7704,H: 140-160k
1590,F: 100-120k
7711,F: 100-120k
7712,C: 40-60k
7716,E: 80-100k
7717,D: 60-80k
7718,E: 80-100k
7719,E: 80-100k
7720,D: 60-80k
7721,D: 60-80k
7722,H: 140-160k
7723,E: 80-100k
1602,C: 40-60k
7724,D: 60-80k
7726,F: 100-120k
7727,D: 60-80k
7728,E: 80-100k
7730,E: 80-100k
7731,E: 80-100k
7732,D: 60-80k
7733,G: 120-140k
7734,C: 40-60k
7735,D: 60-80k
1603,C: 40-60k
7737,D: 60-80k
7738,G: 120-140k
7739,G: 120-140k
7740,C: 40-60k
7746,G: 120-140k
7747,E: 80-100k
7748,F: 100-120k
7750,F: 100-120k
7751,H: 140-160k
7753,C: 40-60k
1604,C: 40-60k
7755,E: 80-100k
7756,C: 40-60k
7757,E: 80-100k
7758,E: 80-100k
7760,G: 120-140k
7762,D: 60-80k
7764,E: 80-100k
7801,D: 60-80k
7803,E: 80-100k
1605,B: 20-40k
7821,F: 100-120k
7822,D: 60-80k
7823,C: 40-60k
7825,E: 80-100k
7826,E: 80-100k
7827,C: 40-60k
7828,D: 60-80k
7830,G: 120-140k
7832,E: 80-100k
7833,F: 100-120k
1606,D: 60-80k
7834,F: 100-120k
7836,F: 100-120k
7838,E: 80-100k
7840,D: 60-80k
7842,E: 80-100k
7843,D: 60-80k
7847,F: 100-120k
7848,E: 80-100k
7849,E: 80-100k
1607,C: 40-60k
7850,E: 80-100k
7851,D: 60-80k
7852,E: 80-100k
7853,H: 140-160k
7856,E: 80-100k
7857,C: 40-60k
7860,D: 60-80k
7863,D: 60-80k
7865,E: 80-100k
7866,E: 80-100k
1034,E: 80-100k
1608,B: 20-40k
7869,G: 120-140k
7871,G: 120-140k
7874,E: 80-100k
7876,F: 100-120k
7878,F: 100-120k
7881,A: 0-20k
7882,D: 60-80k
7885,D: 60-80k
1609,C: 40-60k
7901,G: 120-140k
7920,G: 120-140k
7921,E: 80-100k
7922,G: 120-140k
7924,F: 100-120k
7927,E: 80-100k
7928,H: 140-160k
7930,G: 120-140k
7931,J: 180-200k
1610,B: 20-40k
7932,F: 100-120k
7933,F: 100-120k
7934,J: 180-200k
7935,G: 120-140k
7936,F: 100-120k
7940,F: 100-120k
7945,H: 140-160k
7946,G: 120-140k
7950,F: 100-120k
1611,E: 80-100k
7960,F: 100-120k
7970,K: 220-240k
7974,H: 140-160k
7976,J: 200-220k
7979,I: 160-180k
7980,F: 100-120k
7981,F: 100-120k
8001,D: 60-80k
